coin,r2_lasso,r2_ridge,mse_lasso,mse_ridge,mean_actual_return,std_actual_return,realized_sharpe
MLNUSD,0.0153470486602943,0.0250254999537015,0.000232256550668,0.0002299736308737,-0.0001727916173538,0.0153595367104745,-0.011249793571961323
ENJUSD,0.0079818585166722,0.0050823979645472,0.0001695558430526,0.0001700514191492,-0.0001383920401588,0.0130746946351465,-0.010584724463604984
NANOUSD,0.0059431521483208,0.0037635637500732,0.0001569180347055,0.0001572620962435,-8.730456555597457e-05,0.0125648429754551,-0.0069483212584924795
PERPUSD,0.0050596861745008,0.006373461538686,0.0002666350641655,0.0002662829841727,-0.0004589845041244,0.0163736983311032,-0.028031816321699345
RENUSD,0.0050230941171909,0.0029785444264538,0.0004886933404637,0.000489697542483,-0.000325765433106,0.0221646020514037,-0.014697553890229626
CRVUSD,0.004284390577063,0.0042585527185752,0.0002164545684554,0.0002164601852424,1.1470028627488431e-05,0.0147449752647556,0.0007778940568930516
SCUSD,0.0041052078355962,0.0013999159165506,0.0001076172439457,0.0001079095801068,-0.0001515968225716,0.0103958414808862,-0.014582448457907519
CQTUSD,0.0036189905288422,0.0216050934555288,0.00150400100005,0.001476851629948,-0.0005330029635388,0.0388562044678375,-0.01371731930173425
1INCHUSD,0.0027952750489544,-0.0016506175574819,0.0001284530049362,0.0001290256940247,-0.0002008295993467,0.0113506503405473,-0.01769322402869618
AAVEUSD,0.0025034882457507,0.0038997519083783,0.0001433627080404,0.0001431620335143,5.163075087676028e-05,0.0119892384414441,0.004306424559735536
OGNUSD,0.0024300327516344,-0.0014007008827112,0.000200931843363,0.0002017034347259,-8.105401100295319e-05,0.0141942192415594,-0.00571035360406681
SRMUSD,0.0022445010251355,0.057498314048952,0.0006177625303305,0.0005835520094373,-4.6124999954000646e-05,0.0248854069258274,-0.0018534959099314413
OMGUSD,0.0020286423143704,0.0013692022457517,0.0002559155890804,0.0002560846931257,-0.0002472156785788,0.0160146888478169,-0.015436808103361939
KAVAUSD,0.0020106905032867,0.0017887493141561,0.0001185264400967,0.0001185527989954,-9.005395161062698e-05,0.0108986300989962,-0.008262868892019857
OCEANUSD,0.0019913363805291,0.0038353019862101,0.0001758746890884,0.0001755497351182,-0.0001950479979935,0.0132759811212304,-0.014691795371837891
PHAUSD,0.0017437509887422,-0.0107461851040617,0.0003870016050043,0.0003918436736807,-0.0001330134003969,0.0196916628465743,-0.006754807932334671
MINAUSD,0.0017294597723189,-0.0010754862528059,0.0001353761361696,0.0001357565167776,-0.0001220057402045,0.0116460890045777,-0.010476112638031831
LINKUSD,0.0015208579813061,-0.0002315027074444,0.0001143610482934,0.0001145617553457,-5.0444928240331394e-05,0.0107026784967078,-0.004713299409661658
SHIBUSD,0.0012758940969439,-0.002526561628533,0.0001229822617226,0.0001234504937423,-4.051944994939189e-05,0.0110977756225585,-0.0036511325627297613
FILUSD,0.0012670944664219,-0.0017558552885554,0.0001094522603683,0.0001097835488257,-9.855645093060382e-05,0.0104692565705794,-0.00941389202434547
DYDXUSD,0.0011921626285238,-0.0007262360180828,0.0001938117703276,0.0001941840223505,-0.000113855586334,0.0139312285378243,-0.008172688146266052
CHZUSD,0.0011476786216529,0.0002849449020555,0.0001476804358718,0.000147807991156,-7.08794382716571e-05,0.01216042114013,-0.005828699306946812
COMPUSD,0.0009739226622881,-0.0279467067217149,0.0001436717069631,0.000147830833821,-4.033063329070876e-05,0.0119929836458837,-0.003362852354472381
SNXUSD,0.0007765302239659,1.8396687452293392e-05,0.0001391124383801,0.000139217986146,-0.0001574021375521,0.0117999544010637,-0.013339215746283824
GRTUSD,0.0007319499671356,-0.0004118745915626,0.0001298653297931,0.0001300139817524,-0.0001747614485987,0.011400790381145,-0.015328888853857553
CTSIUSD,0.0007176188095475,-0.0004954436932198,0.0001725374301633,0.0001727468791547,-0.0003068717593852,0.0131420999352054,-0.0233502835085848
AVAXUSD,0.000614788081095,-0.0017134164020073,0.0001176666660763,0.0001179407866618,-2.653833962371315e-05,0.0108517154579911,-0.002445543262394571
KNCUSD,0.000567265049665,-0.0012998032595796,0.0001520099580876,0.0001522939321516,-9.633745254610658e-05,0.0123338381259425,-0.00781082511075561
EOSUSD,0.0004905239766301,-0.0018695658781389,0.000105852574211,0.0001061025184011,-1.3465344568920614e-06,0.0102914101005158,-0.00013084061792703936
BATUSD,0.0004398808482347,0.0001880978418787,0.0001193495606223,0.0001193796240378,-4.89207369476403e-05,0.0109277770564882,-0.00447673270554091
ADAUSD,0.0003421447505493,-0.0011626773802932,0.0001262845722666,0.0001264746731277,-8.842428983973933e-06,0.0112400617867074,-0.0007866886456470435
INJUSD,0.000153582778789,-0.0016465685629931,0.000167213217025,0.0001675142723589,-0.0001178125144337,0.0129332238159966,-0.009109292169519428
SUSHIUSD,0.0001455598701803,-0.0004416125217596,0.0002091951641051,0.0002093180156123,-5.566691182355064e-05,0.014465930603252,-0.0038481390067664563
ANKRUSD,6.345868481649752e-05,0.0004198352295258,0.0001376434883094,0.0001375944322856,-7.759011903602154e-05,0.0117336419504562,-0.00661262030694612
SANDUSD,5.909717605379061e-05,-0.0071001561071337,0.0001607512358078,0.000161902162637,-2.8297695280791606e-05,0.0126801367089792,-0.002231655378033356
AXSUSD,1.3256912016701428e-05,-0.0079972009265454,0.0001192873940425,0.0001202429533509,-9.939335618529082e-05,0.0109228779489067,-0.009099557520482901
GBPUSD,-5.570943706345588e-11,-0.004602821507913,7.845520393218335e-07,7.881631922785929e-07,3.006776028076981e-06,0.0008858017577355,0.003394411900653287
EURUSD,-7.631370646521418e-09,0.0095259810490009,7.075731036680713e-07,7.008327703434318e-07,5.653337957404113e-07,0.0008412214196633,0.0006720392307255882
BADGERUSD,-1.1040348635305008e-08,-0.011795604660084,0.0001720863319403,0.000174116192357,-0.0002573015724711,0.0131208679825395,-0.019610102991166608
LRCUSD,-7.545795110530662e-06,0.0027868962555319,0.0001613296237126,0.0001608788008299,-8.96723195561732e-05,0.0127027083650159,-0.007059307116200251
YFIUSD,-1.1255378271846084e-05,0.006546505610388,0.000139801289192,0.0001388845160702,-0.0001062112982358,0.0118247505084494,-0.00898211747976471
UNIUSD,-1.642041079175094e-05,-0.0042208889003165,0.0001281562695751,0.0001286950897246,-2.2981325677631943e-05,0.011321251970584,-0.0020299279388308203
SOLUSD,-6.404111542979152e-05,0.0042627323643139,0.0001013450044544,0.0001009065356568,-2.50235786453254e-05,0.0100674688809676,-0.0024855878812431297
MKRUSD,-7.054155865926504e-05,-0.004417157145832,0.0001100622636985,0.0001105406283048,-9.395999812630608e-05,0.0104916464730509,-0.008955696169105014
MATICUSD,-0.0001128168815505,-0.0020025434929973,0.0001017410667619,0.0001019333078752,-0.000155459803237,0.0100868575167413,-0.015412114524169808
ZRXUSD,-0.0002524256150084,-0.0026360646425123,0.0001811840823348,0.0001816158507952,5.754478710199836e-05,0.0134601007719644,0.004275212205086644
ETHUSD,-0.0003545314593098,-0.069158604131218,4.26370531677619e-05,4.5569616386515136e-05,-8.202252034052705e-06,0.0065287526417205,-0.0012563275841755881
QTUMUSD,-0.0005024742175923,-0.0019242095350202,0.0001705119828669,0.0001707542840249,-6.040054230015646e-05,0.013055509475439,-0.0046264408458196495
RAYUSD,-0.0005718469833722,-0.0015694954692195,0.0003115936710526,0.0003119043543434,-0.000396325614449,0.0176498235962869,-0.022454933460772798
ALGOUSD,-0.0006795830712122,-0.0014223506836787,0.0001478012233061,0.0001479109307126,-5.3588481676126e-05,0.0121539077583918,-0.004409156523269254
BANDUSD,-0.0007718786243171,-0.0120053904942729,0.0001921907110989,0.0001943480225507,-0.0005186068709093,0.0138602063022308,-0.03741696621253251
OXTUSD,-0.0009005724054873,-0.1469932583223812,0.0001627429579058,0.0001864971213962,3.391608083432524e-07,0.0127523009193238,2.659604807704276e-05
