file_name,first_unix_time,last_unix_time,first_date,last_date,number_rows
BNTUSD_60.csv,1621868400,1743451200,2021-05-24 15:00:00,2025-03-31 20:00:00,16000
REPUSD_60.csv,1475611200,1743458400,2016-10-04 20:00:00,2025-03-31 22:00:00,45977
GHSTUSD_60.csv,1621263600,1743462000,2021-05-17 15:00:00,2025-03-31 23:00:00,17687
SDNUSD_60.csv,1630594800,1743462000,2021-09-02 15:00:00,2025-03-31 23:00:00,17614
BADGERUSD_60.csv,1628002800,1743451200,2021-08-03 15:00:00,2025-03-31 20:00:00,18982
PERPUSD_60.csv,1626188400,1743462000,2021-07-13 15:00:00,2025-03-31 23:00:00,19777
OXYUSD_60.csv,1632841200,1743458400,2021-09-28 15:00:00,2025-03-31 22:00:00,18458
WBTCUSD_60.csv,1628010000,1743462000,2021-08-03 17:00:00,2025-03-31 23:00:00,17874
BALUSD_60.csv,1600351200,1743433200,2020-09-17 14:00:00,2025-03-31 15:00:00,27349
RAYUSD_60.csv,1632841200,1743462000,2021-09-28 15:00:00,2025-03-31 23:00:00,20742
CTSIUSD_60.csv,1628002800,1743462000,2021-08-03 15:00:00,2025-03-31 23:00:00,22258
KARUSD_60.csv,1626793200,1743462000,2021-07-20 15:00:00,2025-03-31 23:00:00,23262
BNCUSD_60.csv,1635260400,1743462000,2021-10-26 15:00:00,2025-03-31 23:00:00,21048
