coin,r2_lasso,r2_ridge,mse_lasso,mse_ridge,mean_actual_return,std_actual_return,realized_sharpe
ETHWUSD_720.parquet,-0.03803816464495835,-0.5398378296521682,0.0017471879768673113,0.002591798870144548,0.011881954011641887,0.04257508241810406,0.2790823490359085
EWTUSD_720.parquet,-0.014269044812898812,-0.04468881823197246,0.0012062767628629944,0.0012424551969724125,0.005769770525295895,0.035788149018931924,0.16122014363591947
FETUSD_720.parquet,-0.1496412308329842,-2.2494025870738334,0.010166419718627749,0.02873486932184204,0.04482856519756845,0.09758772505701842,0.4593668432313191
FILUSD_720.parquet,-0.0039864331047327894,-0.23938292843796827,0.0013550649682590604,0.0016727759790449502,0.005807143189358448,0.038124879395246634,0.15231899173122304
FLOWUSD_720.parquet,-0.03509065172185055,-0.7126375419566109,0.0013602034801351306,0.002250561862291314,0.011069048096041983,0.037618813119127105,0.29424235318083386
FTMUSD_720.parquet,-0.04396064050415549,-1.5402852268868235,0.0022704346865076884,0.005524683085716332,0.005826387537666881,0.048395478214293575,0.12039115538579515
FXSUSD_720.parquet,-0.001525197773654785,0.10441620002355978,0.0030132788333548295,0.0026945340106903502,0.015318120756879347,0.056922119402951346,0.2691066481281637
GALAUSD_720.parquet,-0.10441029636313481,-0.1300272290962643,0.001139918048934498,0.0011663585883581126,0.001865777719688289,0.03333987239714606,0.055962353348658955
GLMRUSD_720.parquet,-0.08392841110878835,-1.135217492648319,0.0012686448579775343,0.002499088191572554,0.014121891116673882,0.03550275647901277,0.3977688640886785
GRTUSD_720.parquet,-0.23576666127248158,-0.5317249805342901,0.011490613078133094,0.014242542419219417,0.05371762655432737,0.10006811175061048,0.5368106344227053
ICPUSD_720.parquet,-0.026136629586365423,-0.9474907440868772,0.0006474519620040704,0.0012287902671909157,0.0016328634238225552,0.026067148254515535,0.06264066202714365
IMXUSD_720.parquet,-0.19148241276034184,-1.4288590678653157,0.002712305247214359,0.005529084713263294,0.030720725386682413,0.04951283634961211,0.6204598171222134
INJUSD_720.parquet,-0.001504479888112531,-0.6655272528842409,0.004196012764611525,0.006978075239055746,0.013373812667225945,0.06717138357875607,0.1990998540553452
JASMYUSD_720.parquet,-0.15195068982874638,-0.6670993723689007,0.004579836231587773,0.0066279244195490555,0.030926553849856986,0.06543353319024468,0.47264074461544964
JUNOUSD_720.parquet,-0.028119347287274277,-0.19027474150922763,0.001213242740455239,0.001404595870210584,-0.0014193194430535078,0.03564875986985177,-0.039813992078131986
KAVAUSD_720.parquet,-0.0006856960991101779,-0.5321851560148521,0.0010258359718605782,0.0015706936300957936,0.008247467901604369,0.03322633639131565,0.24822080305429056
KEYUSD_720.parquet,-0.09690381616235388,-0.39826759606188933,0.001168900775902495,0.0014900450284459075,0.014511969690052726,0.033876371858299135,0.42838028082684243
KILTUSD_720.parquet,-0.3349628162474836,-0.22445454991909375,0.0011208072540331055,0.001028026792267405,-0.008668632643161983,0.030069293466753504,-0.2882885376986515
KSMUSD_720.parquet,-0.037879522603165405,0.12221873964968721,0.0006632194826259127,0.0005609144613317958,0.0026273709887600608,0.02623297272689494,0.10015528991368905
LCXUSD_720.parquet,-0.052118221962570876,-1.057577481302061,0.0036459876685051634,0.007130284379855659,0.007424614012539414,0.06108965440177542,0.12153635644603739
LDOUSD_720.parquet,-0.001126546569353959,-0.07770286099324619,0.0019839933846275437,0.002135749325728878,0.01208201268599789,0.046197445602499845,0.2615298860884227
LINKUSD_720.parquet,-0.0014347533352507824,0.06882955746552777,0.00045990692006882093,0.00042763817498730653,0.003881284580668464,0.022239037358658464,0.17452574578986169
LPTUSD_720.parquet,-0.22577063037143197,-2.060730330993781,0.0017660458344167722,0.004409789170496521,0.024814379082385946,0.03939024856342368,0.6299624903973735
LRCUSD_720.parquet,-0.00043226680732422196,0.13727214317102165,0.0029029589900387612,0.0025033814592276614,0.008595900854996822,0.055900918880501055,0.15377029621592106
LTCUSD_720.parquet,-7.166490071974785e-05,-0.023951332709029494,0.0002911586676298893,0.0002981109416583731,0.0039054399653412858,0.01770686361002794,0.22056079785521784
LUNA2USD_720.parquet,-0.0599233766707965,-0.066624628982485,0.00152125237279278,0.0015308703283961928,0.0020499356230856583,0.03931477012549127,0.05214161539142518
MANAUSD_720.parquet,-0.05481300844201553,-0.24810609805157502,0.001661253017434064,0.0019656754371360345,0.0051495839159841185,0.041183428116357994,0.12504019581455658
MATICUSD_720.parquet,-0.042691525026658406,-0.40466666154336717,0.0011031925603268318,0.0014861709082311296,0.012363767882595222,0.03375515309669656,0.3662779382803392
MINAUSD_720.parquet,-0.009385603781598029,-1.0988163127659525,0.0023061109279530778,0.00479509834150855,0.00515732891386969,0.04960253650349998,0.10397308842272182
MKRUSD_720.parquet,-0.12304746970938885,-1.1420932558732164,0.0012578643275426853,0.002399242031621274,0.012104757303936935,0.03473043199245528,0.3485346023500811
MOVRUSD_720.parquet,-0.09624913982968164,-1.0786633177946539,0.0009292515700453657,0.0017620092746038491,0.01280730961345041,0.030213731166299475,0.423890367692678
NANOUSD_720.parquet,0.09879411298327301,0.07341648787536037,0.0005544657887594165,0.000570079340695788,0.0038322507194700345,0.025740543290546394,0.14887994694647672
NEARUSD_720.parquet,-0.00711297300100755,-0.2079585249295739,0.001191267135653658,0.0014288380058230384,0.01201504752825408,0.0356909269077926,0.3366415100200372
OCEANUSD_720.parquet,-0.15010187083034632,-2.2500445192205194,0.002536354955332203,0.0071674229304781395,0.03025907989472373,0.048733679474083906,0.6209069420012747
OMGUSD_720.parquet,-0.09485199811845235,-1.3850515169191389,0.000944526911846565,0.0020575797895441886,0.013569675674047741,0.03048048002834848,0.44519232182128415
PHAUSD_720.parquet,-0.08081163327286478,-0.22602158429851849,0.0018754578495543568,0.002127430657859346,0.017852981747781015,0.04322858204980746,0.4129902231632539
POLISUSD_720.parquet,-0.10925021550409753,-0.859226870015376,0.0005707441299119138,0.0009566307109109206,-0.005452237013814597,0.023539558198635555,-0.2316201930302426
QNTUSD_720.parquet,-0.009720936168109207,-0.20319369732649029,0.0006828062268300307,0.0008136388176073182,0.0014391186614206802,0.026986116913262397,0.05332811186011803
QTUMUSD_720.parquet,-0.024256101427641452,-0.5358289228924504,0.00031678931349644624,0.00047501224493848624,0.008148120656792423,0.018250439323117783,0.4464616173086431
RPLUSD_720.parquet,-0.005729097942800188,-0.3558295498093067,0.0008609668501362895,0.0011606746779115387,0.0072818503014087784,0.03036302583030584,0.23982623939082656
RUNEUSD_720.parquet,-0.009815725234486372,-0.041537818539154614,0.0008632184928849441,0.0008903354181707459,0.007401850703258437,0.03034112256620798,0.24395441161106377
SANDUSD_720.parquet,-0.007804238102724792,0.0074923343547570465,0.004312571238704771,0.004247114520091353,0.015337981983206432,0.06788477651668423,0.22594140793019732
SBRUSD_720.parquet,-0.005965452051686748,-0.17198109170745446,0.0011603222673990114,0.0013518115904530006,0.0010352148073261831,0.03524440004270419,0.029372462180427415
SCRTUSD_720.parquet,-0.07006239340407827,-0.6546373824905161,0.0008998034133435096,0.0013913659369659912,0.010651338270431446,0.03009273142862471,0.3539505310674363
SCUSD_720.parquet,-0.6193031233374311,-2.2780780756721204,0.0028922862216679396,0.005855074269403816,0.0381083596405758,0.04385800767818791,0.8689031184498696
